"Collection Name","Content Note","Title#1","Title Type#1","Name#1","Name Role Term Text#1","Name URI#1","Name#2","Name Role Term Text#2","Name URI#2","Name#3","Name Role Term Text#3","Name URI#3","Name#4","Name Role Term Text#4","Name URI#4","Name#5","Name Role Term Text#5","Name URI#5","Name#6","Name Role Term Text#6","Name URI#6","Name#7","Name URI#7","Name#8","Name URI#8","Name#9","Name URI#9","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Genre#2","Genre URI#2","Place Created#1","Publisher#1","Date Issued#1","Date Created#1","Publisher#2","Date Issued#2","Language Term#1","Language Term URI#1","Language Term Type#1","Form#1","Form URI#1","Extent#1","Abstract#1","Table of Contents#1","Note#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Topic#6","Subject Topic URI#6","Subject Name#1","Subject Name URI#1","Subject Name#10","Subject Name URI#10","Subject Name#11","Subject Name URI#11","Subject Name#12","Subject Name URI#12","Subject Name#13","Subject Name URI#13","Subject Name#14","Subject Name URI#14","Subject Name#15","Subject Name URI#15","Subject Name#2","Subject Name URI#2","Subject Name#3","Subject Name URI#3","Subject Name#4","Subject Name URI#4","Subject Name#5","Subject Name URI#5","Subject Name#6","Subject Name URI#6","Subject Name#7","Subject Name URI#7","Subject Name#8","Subject Name URI#8","Subject Name#9","Subject Name URI#9","Subject Geographic#1","Subject Geographic URI#1","Subject Geographic#2","Subject Geographic URI#2","Subject Geographic#3","Subject Geographic URI#3","Subject Temporal#1","Subject Temporal URI#1","Subject Title#1","Subject Title URI#1","Subject Title#2","Subject Title URI#2","Identifier#1","Identifier ARK#1","Physical Location#1","Shelf Locator#1","Date Captured#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME"
"Boulder Gay Liberation Collection","","A letter from Stanley Hohnholz about coming out and joining the Boulder Gay Liberation Front","Devised","Hohnholz, Stan","author","http://id.loc.gov/authorities/names/no2023067290","","","","","","","","","","","","","","","","","","","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Autobiographies","http://id.loc.gov/authorities/genreForms/gf2014026047","","","","","","Undated","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","drafts (documents)","http://vocab.getty.edu/page/aat/300026931","2 unnumbered pages","A handwritten document briefly describing an anonymous person's experience coming out and then getting involved with the Boulder Gay Liberation Front.","","","Coming out","https://homosaurus.org/v3/homoit0000295","LGBTQ+ clubs","https://homosaurus.org/v3/homoit0000836","LGBTQ+ movement","https://homosaurus.org/v3/homoit0001026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","narv_BGL_COU193_01_17_03.pdf","https://ark.colorado.edu/ark:/47540/85171h2484qs","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 193 | box 1 | folder 17","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","126","1254352","5343","narv_BGL_COU193_01_17_03.pdf"
"Boulder Gay Liberation Collection","","A question and answer sheet about LGBTQ+ culture","Devised","","","","","","","","","","","","","","","","","","","","","","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Informational works","http://id.loc.gov/authorities/genreForms/gf2014026113","","","","","","Undated","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","FAQs","http://id.loc.gov/authorities/genreForms/gf2014026101","2 unnumbered pages","A list of twenty-one questions and answers about specific topics in LGBTQ+ culture.","","","LGBTQ+ centers","https://homosaurus.org/v3/homoit0000830","LGBTQ+ culture","https://homosaurus.org/v3/homoit0001831","","","","","","","","","Boulder Gay Liberation Front","local","","","","","","","","","","","","","Gay Coalition of Denver","http://id.loc.gov/authorities/names/nr94012234","Metropolitan Community Church of the Rockies","local","","","","","","","","","","","","","","","","","","","","","","","","","narv_BGL_COU193_01_16_02.pdf","https://ark.colorado.edu/ark:/47540/0h9z1w87t9hj","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 193 | box 1 | folder 16","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","118","1254332","5343","narv_BGL_COU193_01_16_02.pdf"
"Boulder Gay Liberation Collection","","A Review of Several Documents of Medical Research about AIDS","Devised","Hall, Charles E.","author","local","","","","","","","","","","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Medical statistics","http://id.loc.gov/authorities/genreForms/gf2019026082","","","","","1991","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","articles","http://vocab.getty.edu/page/aat/300048715","4 unnumbered pages","A scientific review titled, ""Scientific AIDS: A Review of Several Documents of Medical Research about AIDS"" by Dr. Charles E. Hall. This paper discusses the effect of zidovudine, or AZT, on AIDS patients and questions the connection of HIV with AIDS.","","The University of Colorado Boulder Libraries make the best effort to adhere to all known copyright and rights of privacy, publicity, or trademark of our materials. However, this collection contains items where the rights are unclear (e.g., when we encounter copyright information that, relative to the work in hand, is ambiguous or contradictory). We are eager to hear from any rights owners so that we may obtain the most accurate information, and update our records and online holdings. Parties who have additional information about the item(s), or who wish to contest the use of the item(s), may contact rad@colorado.edu. Please include a description of the item(s) and the reason why we should remove it from our digital library. We will review the request and make a determination.","AIDS education","https://homosaurus.org/v3/homoit0000027","Medical care--Research","http://id.worldcat.org/fast/1013845","Medication","https://homosaurus.org/v3/homoit0001007","","","","","","","Lauritzen, John","local","","","","","","","","","","","","","Greer, Steven M.","local","Pachuta, Don","local","Ward, John","local","Goedert, James J.","local","","","","","","","","","","","","","","","","","","","","","narv_BGL_COU193_01_22_01.pdf","https://ark.colorado.edu/ark:/47540/b8699454x7qn","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 193 | box 1 | folder 22","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","139","1254374","5343","narv_BGL_COU193_01_22_01.pdf"
"Boulder Gay Liberation Collection","","Agenda for a Boulder Gay Liberation Front meeting","Devised","Boulder Gay Liberation Front","author","local","","","","","","","","","","","","","","","","","","","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","agendas (administrative records)","http://vocab.getty.edu/page/aat/300027426","","","","","","1979-10-10","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","declaratory documents","http://vocab.getty.edu/page/aat/300169672","2 unnumbered pages","A list of agenda items for a Boulder Gay Liberation Front general meeting. The meeting addresses the group's budget proposal and mission. The second page offers more information about the bylaws and system for voting.","","","LGBTQ+ clubs","https://homosaurus.org/v3/homoit0000836","Meetings","http://id.worldcat.org/fast/1015496","Administrative procedure","http://id.worldcat.org/fast/796890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","narv_BGL_COU193_01_16_07.pdf","https://ark.colorado.edu/ark:/47540/pz0n9j95b0nk","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 193 | box 1 | folder 16","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","122","1254336","5343","narv_BGL_COU193_01_16_07.pdf"
"Boulder Gay Liberation Collection","","Agenda for a Boulder Gay Liberation Front meeting","Devised","Boulder Gay Liberation Front","author","local","","","","","","","","","","","","","","","","","","","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","agendas (administrative records)","http://vocab.getty.edu/page/aat/300027426","","","","","","Undated","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","declaratory documents","http://vocab.getty.edu/page/aat/300169672","1 unnumbered page","A list of six agenda items for a Boulder Gay Liberation Front meeting. The meeting addresses the group's bylaws and mission. The document also displays handwritten notes and doodles in blue ink and pencil.","","","LGBTQ+ clubs","https://homosaurus.org/v3/homoit0000836","Meetings","http://id.worldcat.org/fast/1015496","Administrative procedure","http://id.worldcat.org/fast/796890","","","","","","","Barry, Mike","local","","","","","","","","","","","","","Perea, Thomas","local","Brownfield, Michael","local","Gilbert, Lee","local","","","","","","","","","","","","","","","","","","","","","","","narv_BGL_COU193_01_16_04.pdf","https://ark.colorado.edu/ark:/47540/fs630k1082kr","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 193 | box 1 | folder 16","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","119","1254342","5343","narv_BGL_COU193_01_16_04.pdf"
"Boulder Gay Liberation Collection","","Article about the formation of Dignity","Devised","Baum, Gregory","author","local","","","","","","","","","","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Editorials","http://id.loc.gov/authorities/genreForms/gf2021026030","newspaper columns","http://vocab.getty.edu/page/aat/300026441","New York (N.Y.)","Commonweal","1974-02-15","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","Periodicals","http://id.loc.gov/authorities/genreForms/gf2014026139","4 unnumbered pages","An article titled, ""Catholic Homosexuals: The self-affirmation of gay Catholics raises many theological questions"" by Gregory Baum and published in Commonweal magazine. The article talks about the formation of a group called Dignity which was meant to address the needs of people who identified as gay and Catholic. Random doodles and drawings can be found around the margins of the document.","","The University of Colorado Boulder Libraries make the best effort to adhere to all known copyright and rights of privacy, publicity, or trademark of our materials. However, this collection contains items where the rights are unclear (e.g., when we encounter copyright information that, relative to the work in hand, is ambiguous or contradictory). We are eager to hear from any rights owners so that we may obtain the most accurate information, and update our records and online holdings. Parties who have additional information about the item(s), or who wish to contest the use of the item(s), may contact rad@colorado.edu. Please include a description of the item(s) and the reason why we should remove it from our digital library. We will review the request and make a determination.","LGBTQ+ religious people","https://homosaurus.org/v3/homoit0000928","Catholics","http://id.worldcat.org/fast/849297","LGBTQ+ Roman Catholics","https://homosaurus.org/v3/homoit0001244","","","","","","","Dignity (LGBTQ+ Catholic group)","local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","narv_BGL_COU193_02_01_02.pdf","https://ark.colorado.edu/ark:/47540/t184341190xt","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 193 | box 2 | folder 1","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","150","1254402","5343","narv_BGL_COU193_02_01_02.pdf"
"Boulder Gay Liberation Collection","","Article from Newsweek about the sexual preference amendment, Ordinance No. 3975","Devised","","","","","","","","","","","","","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","articles","http://vocab.getty.edu/page/aat/300048715","","","New York (N.Y.)","Newsweek, inc.","1974-05-20","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","Periodicals","http://id.loc.gov/authorities/genreForms/gf2014026139","2 unnumbered pages","A newspaper article from Newsweek titled, ""Homosexual Rights"" that reports about the opposition of the sexual preference amendment.","","The University of Colorado Boulder Libraries make the best effort to adhere to all known copyright and rights of privacy, publicity, or trademark of our materials. However, this collection contains items where the rights are unclear (e.g., when we encounter copyright information that, relative to the work in hand, is ambiguous or contradictory). We are eager to hear from any rights owners so that we may obtain the most accurate information, and update our records and online holdings. Parties who have additional information about the item(s), or who wish to contest the use of the item(s), may contact rad@colorado.edu. Please include a description of the item(s) and the reason why we should remove it from our digital library. We will review the request and make a determination.","Ordinances, Municipal","http://id.worldcat.org/fast/1047406","LGBTQ+ discrimination","https://homosaurus.org/v3/homoit0000356","Discrimination--Law and legislation","http://id.worldcat.org/fast/894991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","narv_BGL_COU193_01_03_08.pdf","https://ark.colorado.edu/ark:/47540/w15f7x32f3ph","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 193 | box 1 | folder 3","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","12","1254106","5343","narv_BGL_COU193_01_03_08.pdf"
"Boulder Gay Liberation Collection","","Article from the Denver Post titled, ""Homosexual men seek self-acceptance""","Devised","Hartman, Diane","author","http://id.loc.gov/authorities/names/no94000266","","","","","","","","","","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","articles","http://vocab.getty.edu/page/aat/300048715","","","Denver (Colo.)","The Denver Post","1977-06-05","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","Clippings","http://id.loc.gov/authorities/genreForms/gf2024026055","3 unnumbered pages","An article from the Denver Post titled, ""Homosexual men seek self-acceptance: Three 'gay' men tell their stories.""","","The University of Colorado Boulder Libraries make the best effort to adhere to all known copyright and rights of privacy, publicity, or trademark of our materials. However, this collection contains items where the rights are unclear (e.g., when we encounter copyright information that, relative to the work in hand, is ambiguous or contradictory). We are eager to hear from any rights owners so that we may obtain the most accurate information, and update our records and online holdings. Parties who have additional information about the item(s), or who wish to contest the use of the item(s), may contact rad@colorado.edu. Please include a description of the item(s) and the reason why we should remove it from our digital library. We will review the request and make a determination.","Self-acceptance","http://id.worldcat.org/fast/1111471","Social acceptance","http://id.worldcat.org/fast/1122242","Coming out","https://homosaurus.org/v3/homoit0000295","Homosexuality","https://homosaurus.org/v3/homoit0000647","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","narv_BGL_COU193_01_07_03.pdf","https://ark.colorado.edu/ark:/47540/mt752q85c965","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 193 | box 1 | folder 7","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","35","1254168","5343","narv_BGL_COU193_01_07_03.pdf"
"Boulder Gay Liberation Collection","","Article from the National Review titled, ""Letter from a Friend: A Conservative Speaks Out for Gay Rights""","Devised","Woolman, John","author","","","","","","","","","","","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","newspaper columns","http://vocab.getty.edu/page/aat/300026441","","","New York (N.Y.)","National Review","1986-09-12","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","Op-ed pages","http://id.worldcat.org/fast/1721336","4 unnumbered pages","Article from the National Review titled, ""Letter from a Friend: A Conservative Speaks Out for Gay Rights"" submitted by John Woolman.","","The University of Colorado Boulder Libraries make the best effort to adhere to all known copyright and rights of privacy, publicity, or trademark of our materials. However, this collection contains items where the rights are unclear (e.g., when we encounter copyright information that, relative to the work in hand, is ambiguous or contradictory). We are eager to hear from any rights owners so that we may obtain the most accurate information, and update our records and online holdings. Parties who have additional information about the item(s), or who wish to contest the use of the item(s), may contact rad@colorado.edu. Please include a description of the item(s) and the reason why we should remove it from our digital library. We will review the request and make a determination.","AIDS awareness","https://homosaurus.org/v3/homoit0000025","Homosexuality","https://homosaurus.org/v3/homoit0000647","Stereotypes (Social psychology)","http://id.worldcat.org/fast/1431521","LGBTQ+ discrimination","https://homosaurus.org/v3/homoit0000356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","narv_BGL_COU193_01_11_02.pdf","https://ark.colorado.edu/ark:/47540/ps5b316479dn","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 193 | box 1 | folder 11","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","60","1254216","5343","narv_BGL_COU193_01_11_02.pdf"
"Boulder Gay Liberation Collection","","Article from the Rocky Mountain News about the sexual preference amendment, Ordinance No. 3975","Devised","Gaeddert, Beth","author","local","","","","","","","","","","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","articles","http://vocab.getty.edu/page/aat/300048715","","","Denver (Colo.)","Rocky Mountain news","1974-03-06","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","newspapers","http://vocab.getty.edu/page/aat/300026656","1 unnumbered page","A newspaper article titled, ""Boulder gives tentative okay to gay measure"" that reports tentative approval for the sexual preference amendment.","","The University of Colorado Boulder Libraries make the best effort to adhere to all known copyright and rights of privacy, publicity, or trademark of our materials. However, this collection contains items where the rights are unclear (e.g., when we encounter copyright information that, relative to the work in hand, is ambiguous or contradictory). We are eager to hear from any rights owners so that we may obtain the most accurate information, and update our records and online holdings. Parties who have additional information about the item(s), or who wish to contest the use of the item(s), may contact rad@colorado.edu. Please include a description of the item(s) and the reason why we should remove it from our digital library. We will review the request and make a determination.","Ordinances, Municipal","http://id.worldcat.org/fast/1047406","LGBTQ+ discrimination","https://homosaurus.org/v3/homoit0000356","Discrimination--Law and legislation","http://id.worldcat.org/fast/894991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","narv_BGL_COU193_01_03_06.pdf","https://ark.colorado.edu/ark:/47540/qf069b24469f","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 193 | box 1 | folder 3","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","10","1254110","5343","narv_BGL_COU193_01_03_06.pdf"
"Boulder Gay Liberation Collection","","Article from the U.S. Catholic about Catholic, LGBTQ+ members of the church","Devised","","","","","","","","","","","","","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Editorials","http://id.loc.gov/authorities/genreForms/gf2021026030","","","Chicago (Ill.)","U.S. Catholic","1975-08","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","Periodicals","http://id.loc.gov/authorities/genreForms/gf2014026139","2 unnumbered pages","An article from the U.S. Catholic titled, ""The Sad Dilemma of the Gay Catholic."" The article talks about the stance taken by the Roman Catholic Church regarding homosexuality.","","The University of Colorado Boulder Libraries make the best effort to adhere to all known copyright and rights of privacy, publicity, or trademark of our materials. However, this collection contains items where the rights are unclear (e.g., when we encounter copyright information that, relative to the work in hand, is ambiguous or contradictory). We are eager to hear from any rights owners so that we may obtain the most accurate information, and update our records and online holdings. Parties who have additional information about the item(s), or who wish to contest the use of the item(s), may contact rad@colorado.edu. Please include a description of the item(s) and the reason why we should remove it from our digital library. We will review the request and make a determination.","Church history","http://id.worldcat.org/fast/860740","LGBTQ+ religious people","https://homosaurus.org/v3/homoit0000928","Catholics","http://id.worldcat.org/fast/849297","LGBTQ+ Christians","https://homosaurus.org/v3/homoit0000265","","","","","Catholic Church","http://id.worldcat.org/fast/531720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","narv_BGL_COU193_01_04_06.pdf","https://ark.colorado.edu/ark:/47540/dk557n60x8r1","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU: 193 | box 1 | folder 4","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","19","1254138","5343","narv_BGL_COU193_01_04_06.pdf"
